iteration,winner
1,MAR
2,MAR
3,MAR
4,MAR
5,MAR
6,MAR
7,MAR
8,MAR
9,MAR
10,MAR
11,MAR
12,MAR
13,MAR
14,MAR
15,MAR
16,MAR
17,MAR
18,MAR
19,MAR
20,MAR
21,MAR
22,MAR
23,MAR
24,SWE
25,MAR
26,MAR
27,MAR
28,MAR
29,MAR
30,MAR
31,MAR
32,MAR
33,MAR
34,MAR
35,MAR
36,MAR
37,MAR
38,MAR
39,MAR
40,MAR
41,MAR
42,MAR
43,SWE
44,MAR
45,MAR
46,MAR
47,MAR
48,MAR
49,MAR
50,MAR
51,MAR
52,MAR
53,MAR
54,MAR
55,MAR
56,MAR
57,MAR
58,MAR
59,MAR
60,MAR
61,MAR
62,MAR
63,MAR
64,MAR
65,SWE
66,MAR
67,MAR
68,MAR
69,MAR
70,MAR
71,SWE
72,MAR
73,MAR
74,MAR
75,MAR
76,MAR
77,MAR
78,MAR
79,MAR
80,MAR
81,MAR
82,SWE
83,MAR
84,MAR
85,MAR
86,MAR
87,MAR
88,MAR
89,MAR
90,MAR
91,MAR
92,MAR
93,MAR
94,MAR
95,MAR
96,MAR
97,MAR
98,MAR
99,MAR
100,MAR
101,MAR
102,MAR
103,MAR
104,MAR
105,SWE
106,MAR
107,MAR
108,MAR
109,MAR
110,SWE
111,MAR
112,MAR
113,MAR
114,MAR
115,MAR
116,MAR
117,SWE
118,MAR
119,MAR
120,MAR
121,MAR
122,MAR
123,MAR
124,MAR
125,MAR
126,MAR
127,MAR
128,MAR
129,MAR
130,MAR
131,MAR
132,MAR
133,MAR
134,MAR
135,SWE
136,MAR
137,MAR
138,MAR
139,MAR
140,MAR
141,MAR
142,MAR
143,MAR
144,MAR
145,MAR
146,SWE
147,MAR
148,MAR
149,MAR
150,MAR
151,MAR
152,MAR
153,MAR
154,MAR
155,MAR
156,MAR
157,MAR
158,MAR
159,MAR
160,MAR
161,MAR
162,MAR
163,MAR
164,MAR
165,MAR
166,SWE
167,MAR
168,MAR
169,MAR
170,MAR
171,SWE
172,MAR
173,SWE
174,MAR
175,MAR
176,MAR
177,MAR
178,MAR
179,SWE
180,MAR
181,MAR
182,MAR
183,MAR
184,MAR
185,SWE
186,MAR
187,MAR
188,MAR
189,MAR
190,MAR
191,SWE
192,MAR
193,MAR
194,MAR
195,MAR
196,MAR
197,MAR
198,MAR
199,MAR
200,MAR
201,MAR
202,SWE
203,MAR
204,MAR
205,SWE
206,MAR
207,MAR
208,MAR
209,MAR
210,MAR
211,MAR
212,SWE
213,MAR
214,MAR
215,MAR
216,MAR
217,MAR
218,MAR
219,MAR
220,MAR
221,MAR
222,MAR
223,SWE
224,MAR
225,MAR
226,MAR
227,MAR
228,MAR
229,MAR
230,MAR
231,MAR
232,MAR
233,SWE
234,MAR
235,MAR
236,MAR
237,MAR
238,MAR
239,MAR
240,MAR
241,MAR
242,MAR
243,MAR
244,MAR
