team1,team2,outcome,sd
KSA,RUS,-1.0819,1.8053945891628485
EGY,RUS,-1.4537666666666667,1.8497894260510706
POR,RUS,-0.23320000000000007,1.6549689638204956
ESP,RUS,0.4212333333333333,1.6806476823395184
MAR,RUS,-1.3362333333333332,1.7242435893004855
IRN,RUS,-0.6577,1.701486683750735
FRA,RUS,-0.24243333333333336,1.4437705354176273
AUS,RUS,-1.1208333333333336,1.7417489664868038
PER,RUS,-1.7662666666666658,1.669484543722373
DEN,RUS,-0.6170333333333335,1.3538992481444214
ARG,RUS,0.33543333333333353,1.5917261758487886
ISL,RUS,-1.3851999999999998,1.7033451913199205
CRO,RUS,-0.4725333333333332,1.5045107801532753
NGA,RUS,-1.1732666666666662,1.548177470542031
BRA,RUS,0.22560000000000002,1.5190595597653342
CRC,RUS,-1.0260333333333334,1.567266169283204
GER,RUS,0.3229333333333333,1.854897366322539
MEX,RUS,-0.5204666666666667,1.6397696057162339
KOR,RUS,-0.8088333333333334,1.6695266960362014
BEL,RUS,-0.670666666666667,1.6205388895627189
PAN,RUS,-1.543766666666667,1.6347820286598227
ENG,RUS,0.3521999999999999,1.7142215739344837
POL,RUS,-0.809,1.538020376986833
COL,RUS,-0.6904333333333333,1.545869627328995
JPN,RUS,-1.159333333333333,1.7203901806381485
EGY,KSA,-0.7722999999999999,1.8360885772855262
ESP,KSA,0.6263333333333329,1.8303035327628279
IRN,KSA,0.09653333333333329,1.4943347272276186
FRA,KSA,0.6387999999999999,1.562032153605615
AUS,KSA,0.06283333333333334,1.4617163356679652
DEN,KSA,0.40136666666666654,1.7456785141391964
ARG,KSA,0.8191666666666667,1.7393646912186405
ISL,KSA,-0.6818000000000001,1.9939858595549516
CRO,KSA,0.5536333333333333,1.7061778258213376
BRA,KSA,0.7349333333333332,1.6739858314198048
CRC,KSA,0.20573333333333335,1.7471067204593533
GER,KSA,0.9369000000000003,2.1349072692030893
KOR,KSA,0.1444666666666666,1.5676074308402477
BEL,KSA,0.24553333333333338,1.6503010946374237
ENG,KSA,1.0817333333333339,2.243241090491396
COL,KSA,0.18943333333333331,1.740447098364213
JPN,KSA,-0.002699999999999995,1.4566404198103424
AUS,EGY,0.5538666666666664,1.6701368496069573
DEN,EGY,0.9853333333333332,1.8863460689578235
ARG,EGY,1.6696000000000002,2.064019156656978
CRO,EGY,1.2265666666666666,1.9033374603803934
BRA,EGY,1.4000333333333326,2.0024604935625523
CRC,EGY,0.6480333333333337,1.8950506323985814
BEL,EGY,1.0353999999999997,1.87440487282084
COL,EGY,0.8070666666666663,1.8739266373271308
RUS,URU,0.8193666666666667,1.4219358329495928
KSA,URU,-0.5319333333333335,1.9840645592979165
